business_id,neg_words,neg_count,neg_top5,pos_words,pos_count,pos_top5,all_mention,review_count,word_count,stars
130241.0,"['old', 'old', 'old', 'old', 'old', 'usual', 'old', 'old', 'NOT_sweet', 'old', 'old', 'old', 'old', 'poor', 'pricey', 'old', 'NOT_great', 'old']",18,"['old', 'usual', 'NOT_sweet', 'poor', 'pricey']","['classic', 'classic', 'well', 'best', 'great', 'good', 'great', 'classic', 'nice', 'worth', 'perfect', 'great', 'great', 'great', 'popular', 'great', 'perfect', 'good', 'great', 'great', 'great', 'great', 'good', 'good', 'classic', 'best', 'well', 'classic', 'good', 'fun', 'great', 'great', 'coolest', 'warm', 'spectacular', 'classic', 'good', 'special', 'good', 'classic', 'best', 'classic', 'classic', 'well', 'fine', 'good', 'great', 'great', 'good', 'serious', 'best', 'great', 'great', 'classic', 'classic', 'classic', 'great', 'classic', 'better', 'classic', 'great', 'strong', 'good', 'super', 'good', 'perfect', 'classic', 'special', 'better', 'great', 'perfect', 'best', 'best', 'perfect', 'nice', 'perfect', 'well', 'special', 'best', 'classic', 'famous', 'classic', 'good', 'good', 'classic', 'well', 'well', 'great', 'great', 'classic', 'classic', 'special', 'good', 'good', 'well', 'top', 'best', 'special', 'strong', 'sure', 'classic', 'classic', 'classic', 'good', 'great', 'modern', 'fav', 'classic', 'great', 'rare', 'proper', 'classic', 'classic', 'good', 'good', 'great', 'best', 'good', 'good', 'great', 'best', 'perfect', 'well', 'good', 'great', 'robust', 'special', 'great', 'fun', 'great', 'classic', 'great', 'well', 'classic', 'classic', 'best', 'fine', 'good', 'best', 'great', 'classic', 'modern', 'classic', 'great', 'great', 'classic', 'classic', 'cool', 'good', 'classic', 'best', 'good', 'great', 'well', 'best', 'best', 'great', 'perfect', 'great', 'best', 'well', 'well', 'famous', 'good', 'well', 'great', 'great', 'modern', 'serious', 'classic', 'classic', 'perfect', 'best', 'great', 'classic', 'super', 'well', 'best', 'great', 'classic', 'great', 'strong', 'free', 'great', 'perfect', 'special', 'classic', 'real', 'classic', 'classic', 'fun', 'superior', 'well', 'superb', 'great', 'best', 'classic', 'good', 'well', 'good', 'great', 'good', 'well', 'great', 'great', 'casual', 'classic', 'superior', 'best', 'best', 'classic', 'great', 'well', 'fine', 'perfect', 'good', 'delish', 'classic', 'perfect', 'sweet', 'classic', 'great', 'great', 'best', 'real', 'classic', 'classic', 'great', 'perfect', 'great', 'good', 'huge', 'well', 'classic', 'well']",235,"['classic', 'well', 'best', 'great', 'good']",253,1517,200293,4.177982861
13178.0,"['bad', 'poor', 'pricey', 'bad', 'damn', 'pricey', 'small', 'weird', 'NOT_strong', 'pricey', 'smaller']",11,"['bad', 'poor', 'pricey', 'damn', 'small']","['rich', 'good', 'good', 'good', 'great', 'stellar', 'good', 'good', 'good', 'famous', 'fun', 'well', 'perfect', 'nice', 'super', 'top', 'great', 'nice', 'great', 'great', 'well', 'great', 'great', 'classic', 'best', 'great', 'worth', 'best', 'sweet', 'serious', 'good', 'special', 'classic', 'good', 'good', 'standard', 'good', 'good', 'better', 'well', 'great', 'special', 'famous', 'particular', 'serious', 'good', 'great', 'best', 'well', 'great', 'special', 'great', 'cool', 'best', 'best', 'best', 'cosmopolitan', 'best', 'nice', 'real', 'special', 'great', 'well', 'superb', 'serious', 'pure', 'better', 'well', 'strong', 'super', 'sweet', 'fine', 'special', 'famous', 'cool', 'top', 'strong', 'great', 'classic', 'classic', 'classic', 'free', 'great', 'standard', 'real', 'nice', 'pleasant', 'worth', 'top', 'premium', 'quick', 'nice', 'good', 'great', 'good', 'great', 'serious', 'great', 'fun', 'real', 'perfect', 'well', 'fav', 'well', 'nice']",105,"['rich', 'good', 'great', 'stellar', 'famous']",116,1228,132129,4.2149837130000005
6759.0,['usual'],1,['usual'],"['better', 'best', 'enough', 'best', 'classic', 'classic', 'classic', 'classic', 'good', 'classic', 'full', 'best', 'well', 'classic', 'well', 'great', 'great', 'classic', 'good', 'worth', 'nice', 'best', 'well', 'fun', 'strong', 'great', 'strong', 'classic', 'classic', 'good', 'great', 'best', 'top', 'classic', 'classic', 'good', 'best', 'classic', 'perfect', 'classic', 'great', 'premium', 'best', 'best', 'top', 'great', 'perfect', 'standard', 'well', 'special', 'best', 'classic', 'classic', 'classic', 'great', 'best', 'best', 'cool', 'classic', 'great', 'fine', 'quick', 'great', 'real', 'superior', 'great', 'classic', 'good', 'great', 'nice', 'well', 'best', 'good', 'good', 'good', 'good', 'great', 'great', 'premium', 'superior', 'great', 'classic', 'modern', 'premium']",84,"['better', 'best', 'enough', 'classic', 'good']",85,289,37522,4.0346020760000005
13910.0,"['potent', 'usual', 'NOT_better', 'weird', 'old', 'stiff', 'small', 'complex', 'old', 'bad', 'stiff', 'NOT_sure', 'weak']",13,"['potent', 'usual', 'NOT_better', 'weird', 'old']","['great', 'great', 'good', 'special', 'super', 'best', 'fine', 'top', 'best', 'good', 'good', 'good', 'popular', 'superb', 'impromptu', 'decent', 'real', 'real', 'cool', 'well', 'great', 'great', 'special', 'strong', 'real', 'best', 'great', 'real', 'classic', 'well', 'good', 'warm', 'warm', 'special', 'great', 'well', 'well', 'special', 'well', 'great', 'great', 'great', 'great', 'cheap', 'great', 'good', 'serious', 'worth', 'better', 'nice', 'great', 'top', 'great', 'great', 'great', 'great', 'good', 'special', 'standard', 'good', 'fresh', 'warm', 'great', 'fine']",64,"['great', 'good', 'special', 'super', 'best']",77,341,39113,4.4574780060000005
31970.0,"['stiff', 'NOT_strong', 'bad', 'NOT_good', 'small', 'NOT_worth']",6,"['stiff', 'NOT_strong', 'bad', 'NOT_good', 'small']","['best', 'serious', 'great', 'particular', 'best', 'well', 'great', 'great', 'well', 'legit', 'good', 'worth', 'good', 'superb', 'great', 'full', 'great', 'fun', 'super', 'great', 'good', 'great', 'great', 'cool', 'good', 'great', 'fresh', 'great', 'quick', 'classic', 'great', 'great', 'brisk', 'quick', 'best', 'good', 'good', 'great', 'great', 'great', 'well', 'well', 'spectacular', 'good', 'great', 'great', 'decent', 'great', 'full', 'cheap', 'well', 'popular', 'cool', 'great', 'well', 'great', 'good', 'sweet', 'nice', 'great', 'great', 'well', 'good']",63,"['best', 'serious', 'great', 'particular', 'well']",69,2094,244189,4.449856734
39770.0,"['potent', 'small', 'thin', 'NOT_sure']",4,"['potent', 'small', 'thin', 'NOT_sure']","['special', 'good', 'well', 'best', 'perfect', 'best', 'best', 'great', 'great', 'serious', 'sure', 'good', 'classic', 'cool', 'strong', 'perfect', 'legit', 'great', 'well', 'best', 'best', 'perfect', 'decent', 'great', 'best', 'great', 'nice', 'classic', 'decent', 'perfect', 'classic', 'great', 'great', 'well', 'great', 'good', 'special', 'best', 'best', 'fine', 'nice', 'ideal', 'well', 'coolest', 'perfect', 'best', 'premium', 'best', 'great', 'classic', 'well', 'great', 'great', 'well', 'perfect', 'cool', 'special', 'great']",58,"['special', 'good', 'well', 'best', 'perfect']",62,378,33061,4.698412698
61441.0,"['pricey', 'ultra', 'small', 'usual', 'bitter', 'pricey', 'small', 'NOT_good']",8,"['pricey', 'ultra', 'small', 'usual', 'bitter']","['special', 'nice', 'strong', 'worth', 'great', 'best', 'best', 'great', 'cool', 'great', 'great', 'well', 'superb', 'super', 'better', 'best', 'well', 'great', 'well', 'fun', 'decent', 'good', 'great', 'gorgeous', 'well', 'classic', 'great', 'strong', 'great', 'special', 'great', 'great', 'cool', 'great', 'strong', 'special', 'good', 'nice', 'well', 'great', 'superb', 'good', 'super', 'great', 'great', 'coolest', 'best', 'best', 'great', 'good', 'fun', 'great', 'great', 'top']",54,"['special', 'nice', 'strong', 'worth', 'great']",62,934,149830,4.066381156
139373.0,"['pricey', 'usual', 'NOT_sure', 'pricey']",4,"['pricey', 'usual', 'NOT_sure']","['best', 'great', 'great', 'best', 'special', 'perfect', 'classic', 'best', 'great', 'standard', 'worth', 'well', 'best', 'special', 'great', 'perfect', 'classic', 'fine', 'best', 'classic', 'nice', 'great', 'great', 'modern', 'classic', 'best', 'perfect', 'classic', 'best', 'pure', 'classic', 'best', 'great', 'worth', 'great', 'perfect', 'great', 'great', 'best', 'great', 'best', 'fine', 'classic', 'perfect', 'sweet', 'great', 'coolest']",47,"['best', 'great', 'special', 'perfect', 'classic']",51,365,52850,4.594520548
143085.0,"['NOT_cheap', 'old', 'pricey', 'pricey', 'steep', 'pricey']",6,"['NOT_cheap', 'old', 'pricey', 'steep']","['great', 'great', 'great', 'great', 'nice', 'fun', 'perfect', 'great', 'good', 'good', 'best', 'great', 'free', 'good', 'well', 'classic', 'nice', 'strong', 'great', 'classic', 'great', 'nice', 'good', 'best', 'best', 'decent', 'great', 'great', 'well', 'worth', 'well', 'good', 'great', 'great', 'decent', 'great', 'great', 'good', 'standard', 'well', 'great', 'better']",42,"['great', 'nice', 'fun', 'perfect', 'good']",48,458,46640,4.42139738
101708.0,"['NOT_worth', 'sour', 'sour', 'sour', 'stiff', 'small', 'complex']",7,"['NOT_worth', 'sour', 'stiff', 'small', 'complex']","['great', 'great', 'decent', 'good', 'well', 'free', 'well', 'decent', 'great', 'epic', 'great', 'strong', 'great', 'good', 'good', 'fresh', 'great', 'nice', 'fun', 'great', 'fresh', 'best', 'great', 'great', 'good', 'sweet', 'top', 'good', 'special', 'fresh', 'sure', 'strong', 'nice', 'well', 'fresh', 'strong', 'great', 'good', 'cheap', 'good']",40,"['great', 'decent', 'good', 'well', 'free']",47,2434,295009,4.061216105
