business_id,neg_words,neg_count,neg_top5,pos_words,pos_count,pos_top5,all_mention,review_count,word_count,stars
76703.0,"['NOT_great', 'NOT_great', 'bad']",3,"['NOT_great', 'bad']","['great', 'great', 'great', 'huge', 'great', 'great', 'great', 'good', 'good', 'great', 'great', 'good', 'great', 'casual', 'top', 'great', 'good', 'good', 'huge', 'good', 'great', 'good', 'great', 'good', 'great', 'great', 'great', 'great', 'best', 'huge', 'great', 'good', 'best', 'good', 'great', 'good', 'cool', 'nice', 'nice', 'great', 'great', 'better', 'nice', 'good', 'best', 'great', 'good', 'great', 'great', 'superb', 'great', 'great', 'good', 'well', 'good', 'good', 'decent', 'great', 'great', 'good', 'great', 'great', 'best', 'great', 'giant', 'great', 'great', 'great', 'nice', 'huge', 'good', 'good', 'great', 'great', 'fair', 'huge', 'serious', 'great', 'great', 'special', 'good', 'cool', 'great', 'good', 'well', 'great', 'strong', 'great', 'good', 'good', 'good', 'great', 'good', 'great', 'great', 'good', 'great', 'great', 'good', 'best', 'pure', 'well', 'great', 'great', 'great', 'huge', 'great', 'great', 'great', 'great', 'great', 'great', 'good', 'great', 'good', 'great']",116,"['great', 'huge', 'good', 'casual', 'top']",119,1468,172731,3.583106267
3099.0,"['small', 'bad']",2,"['small', 'bad']","['great', 'good', 'huge', 'great', 'great', 'great', 'great', 'super', 'good', 'vast', 'huge', 'great', 'fair', 'great', 'huge', 'great', 'good', 'good', 'well', 'decent', 'great', 'nice', 'great', 'decent', 'great', 'great', 'nice', 'good', 'well', 'great', 'huge', 'great', 'good', 'great', 'top', 'premium', 'great', 'great', 'good', 'good', 'decent', 'nice', 'nice', 'best', 'great', 'best', 'well', 'decent', 'quick', 'good', 'cool', 'great', 'good', 'good', 'vast', 'good', 'sweet', 'great', 'fair', 'good', 'good', 'nice', 'glorious', 'good', 'best', 'good', 'great', 'good', 'great', 'well', 'good', 'good', 'great', 'rare', 'good', 'great', 'top', 'decent', 'great', 'good', 'good', 'nice', 'good', 'good', 'nice', 'good', 'decent', 'good', 'strong', 'great', 'good', 'perfect', 'great', 'great', 'decent', 'decent', 'huge', 'good', 'well', 'better', 'great', 'huge', 'great', 'well', 'great', 'great', 'great', 'great']",108,"['great', 'good', 'huge', 'super', 'vast']",110,2641,313903,3.8417266189999997
168460.0,['wrong'],1,['wrong'],"['great', 'great', 'good', 'great', 'great', 'good', 'huge', 'perfect', 'great', 'great', 'great', 'great', 'clean', 'fair', 'good', 'strong', 'good', 'great', 'good', 'great', 'great', 'nice', 'great', 'good', 'nice', 'top', 'decent', 'great', 'good', 'fresh', 'great', 'great', 'great', 'great', 'great', 'great', 'great', 'great', 'strong', 'best', 'great', 'good', 'quick', 'great', 'sweet', 'cool', 'nice', 'super', 'nice', 'nice', 'huge', 'great', 'good', 'great', 'fresh', 'great', 'decent', 'great', 'good', 'great', 'great', 'nice', 'great', 'fun', 'well', 'great', 'great', 'stellar']",68,"['great', 'good', 'huge', 'perfect', 'clean']",69,1135,100093,4.225550661000001
120627.0,['pricey'],1,['pricey'],"['great', 'great', 'better', 'great', 'great', 'huge', 'good', 'good', 'great', 'good', 'huge', 'great', 'great', 'great', 'great', 'great', 'great', 'huge', 'great', 'great', 'great', 'great', 'great', 'great', 'good', 'great', 'well', 'great', 'great', 'great', 'good', 'endless', 'stellar', 'great', 'great', 'great', 'good', 'best', 'good', 'great', 'great', 'full', 'great', 'great', 'great', 'great', 'good', 'great', 'best', 'best', 'good', 'special', 'great', 'great', 'nice', 'good', 'great', 'good', 'good', 'good', 'decent']",61,"['great', 'better', 'huge', 'good', 'well']",62,969,109231,3.772961816
35192.0,"['NOT_good', 'small']",2,"['NOT_good', 'small']","['great', 'great', 'great', 'good', 'great', 'superior', 'great', 'perfect', 'great', 'well', 'good', 'great', 'decent', 'good', 'good', 'good', 'great', 'great', 'perfect', 'sweet', 'great', 'great', 'great', 'great', 'good', 'great', 'great', 'great', 'good', 'good', 'great', 'great', 'great', 'nice', 'cool', 'great', 'well', 'great', 'top', 'great', 'great', 'good', 'top', 'great', 'decent', 'decent', 'well', 'good', 'great', 'fine', 'great', 'great', 'great', 'great']",54,"['great', 'good', 'superior', 'perfect', 'well']",56,967,116578,4.482936918
156289.0,"['sour', 'low']",2,"['sour', 'low']","['good', 'great', 'great', 'decent', 'great', 'good', 'good', 'huge', 'good', 'fun', 'good', 'good', 'good', 'good', 'good', 'good', 'great', 'great', 'huge', 'good', 'great', 'good', 'nice', 'nice', 'great', 'descent', 'great', 'great', 'cool', 'great', 'great', 'good', 'great', 'good', 'well', 'great', 'great', 'great', 'decent', 'great', 'great', 'good', 'great', 'great', 'good', 'great', 'great', 'super', 'great', 'nice', 'great', 'great']",52,"['good', 'great', 'decent', 'huge', 'fun']",54,436,43359,3.7247706419999997
51946.0,['bad'],1,['bad'],"['great', 'great', 'nice', 'good', 'good', 'great', 'decent', 'good', 'good', 'huge', 'good', 'good', 'good', 'good', 'good', 'good', 'decent', 'nice', 'decent', 'good', 'well', 'good', 'nice', 'well', 'great', 'great', 'legit', 'great', 'great', 'great', 'cool', 'decent', 'huge', 'great', 'vast', 'well', 'great', 'great', 'good', 'good', 'great', 'great', 'good', 'decent', 'good', 'good', 'great', 'great', 'great', 'great', 'decent']",51,"['great', 'nice', 'good', 'decent', 'huge']",52,1211,132977,3.7663088360000003
85516.0,"['weak', 'NOT_enough', 'bad']",3,"['weak', 'NOT_enough', 'bad']","['good', 'decent', 'great', 'great', 'nice', 'well', 'great', 'good', 'great', 'great', 'good', 'good', 'huge', 'huge', 'well', 'standard', 'decent', 'good', 'great', 'well', 'great', 'great', 'well', 'decent', 'good', 'great', 'decent', 'great', 'great', 'decent', 'good', 'well', 'good', 'well', 'decent', 'great', 'great', 'good', 'great', 'cool', 'great', 'great', 'stellar', 'great', 'huge', 'great']",46,"['good', 'decent', 'great', 'nice', 'well']",49,3225,401832,3.8955038760000003
100816.0,"['ultra', 'NOT_sure']",2,"['ultra', 'NOT_sure']","['top', 'great', 'great', 'good', 'epic', 'huge', 'great', 'great', 'great', 'great', 'great', 'great', 'cool', 'huge', 'great', 'huge', 'huge', 'huge', 'good', 'great', 'well', 'great', 'huge', 'great', 'great', 'great', 'great', 'huge', 'good', 'endless', 'great', 'great', 'great', 'great', 'great', 'best', 'great', 'strong', 'great', 'huge', 'well', 'huge']",42,"['top', 'great', 'good', 'epic', 'huge']",44,1029,98797,4.077745384
101145.0,"['NOT_great', 'unreal']",2,"['NOT_great', 'unreal']","['well', 'great', 'great', 'good', 'decent', 'good', 'well', 'great', 'great', 'great', 'great', 'great', 'good', 'great', 'well', 'great', 'good', 'nice', 'well', 'good', 'great', 'fair', 'great', 'great', 'decent', 'standard', 'good', 'good', 'huge', 'great', 'great', 'great', 'great', 'great', 'full', 'great', 'good', 'great', 'good', 'good']",40,"['well', 'great', 'good', 'decent', 'nice']",42,549,53181,3.633879781
