AcceptsInsurance,AgesAllowed,Alcohol,Ambience,BYOB,BYOBCorkage,BestNights,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal,HappyHour,HasTV,Music,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsCounterService,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,background_music,breakfast,brunch,casual,classy,dairy-free,dessert,dinner,divey,dj,garage,gluten-free,halal,hipster,intimate,jukebox,karaoke,kosher,latenight,live,lot,lunch,no_music,romantic,soy-free,street,touristy,trendy,upscale,valet,validated,vegan,vegetarian,video,business_id,categories,city,is_open,latitude,longitude,name,postal_code,state,hours,FridayOPEN,MondayOPEN,SaturdayOPEN,SundayOPEN,ThursdayOPEN,TuesdayOPEN,WednesdayOPEN,FridayCOLSED,MondayCOLSED,SaturdayCOLSED,SundayCOLSED,ThursdayCOLSED,TuesdayCOLSED,WednesdayCOLSED,stars
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,FALSE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,FALSE,unknown,unknown,TRUE,unknown,'loud',unknown,TRUE,unknown,unknown,unknown,TRUE,2,TRUE,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,TRUE,FALSE,unknown,unknown,FALSE,TRUE,FALSE,FALSE,unknown,unknown,FALSE,TRUE,unknown,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,unknown,unknown,FALSE,91868,"Nightlife, Arts & Entertainment, Bars, Strip Clubs, Adult Entertainment, Dance Clubs",Las Vegas,1,36.0801679,-115.1827558,Hunk Mansion,89118,NV,"{'Thursday': '19:30-2:0', 'Friday': '19:30-3:0', 'Saturday': '19:30-3:0', 'Sunday': '19:30-2:0'}",19:30,,19:30,19:30,19:30,,,03:00,,03:00,02:00,02:00,,,3.890909091
unknown,unknown,'beer_and_wine',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,FALSE,TRUE,unknown,'average',unknown,FALSE,'casual',unknown,FALSE,TRUE,1,FALSE,unknown,TRUE,unknown,unknown,'no',unknown,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,TRUE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,TRUE,TRUE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,143668,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",Las Vegas,1,36.1956146,-115.0405289,Maria's Mexican Restaurant & Bakery,89156,NV,"{'Monday': '11:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}",10:00,11:00,10:00,10:00,10:00,10:00,10:00,21:00,21:00,21:00,20:00,21:00,21:00,21:00,4.301587302
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,79854,"Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife",Las Vegas,0,36.1582642,-115.1579672,Bistro Divino,89102,NV,,,,,,,,,,,,,,,,4.666666667
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,87650,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)",Las Vegas,1,36.10204979,-115.1562883,"Vince Neil's Tatuado | Eat, Drink, Party",89169,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,4.666666667
unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,TRUE,TRUE,unknown,unknown,unknown,TRUE,'casual',unknown,FALSE,TRUE,2,FALSE,TRUE,TRUE,unknown,unknown,'free',unknown,FALSE,FALSE,TRUE,FALSE,unknown,FALSE,FALSE,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,FALSE,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,33029,"American (Traditional), Restaurants, Bars, Nightlife",Las Vegas,1,36.08355509,-115.1521726,PGA Tour Grill,89119,NV,,,,,,,,,,,,,,,,2.3125
unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,FALSE,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,FALSE,unknown,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,11250,"Nightlife, Bars, Active Life, Swimming Pools, Lounges",Las Vegas,1,36.04169067,-115.1827025,Sway Pool & Lounge,89139,NV,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}",09:00,09:00,09:00,,09:00,09:00,09:00,18:00,18:00,18:00,,18:00,18:00,18:00,3.785714286
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,FALSE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,TRUE,unknown,'loud',unknown,TRUE,unknown,unknown,unknown,TRUE,2,FALSE,unknown,unknown,unknown,unknown,'free',FALSE,unknown,unknown,TRUE,FALSE,unknown,unknown,unknown,FALSE,FALSE,TRUE,unknown,unknown,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,FALSE,unknown,FALSE,FALSE,unknown,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,185658,"Bars, Nightlife",Las Vegas,1,36.11667158,-115.1726612,5 O'clock Somewhere Bar,89109,NV,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,4.117021277
unknown,unknown,'full_bar',None,unknown,unknown,unknown,TRUE,unknown,TRUE,None,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,TRUE,TRUE,None,'average',unknown,FALSE,unknown,unknown,unknown,TRUE,1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,63838,"Bars, Nightlife, Pool Halls",Las Vegas,1,36.100991,-115.114733,Office 6 Bar & Grill,89121,NV,,,,,,,,,,,,,,,,3.375
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,TRUE,unknown,'loud',unknown,FALSE,'casual',unknown,FALSE,TRUE,2,TRUE,unknown,TRUE,unknown,unknown,'free',unknown,unknown,unknown,FALSE,TRUE,unknown,unknown,unknown,FALSE,unknown,FALSE,unknown,unknown,FALSE,FALSE,unknown,unknown,unknown,unknown,unknown,TRUE,unknown,unknown,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,unknown,184144,"Specialty Food, Street Vendors, Filipino, Asian Fusion, Food, Nightlife, Restaurants, Karaoke, Ethnic Food, Bars, Beer, Wine & Spirits",Las Vegas,0,36.142762,-115.209066,Bar Kada Avenue,89102,NV,,,,,,,,,,,,,,,,3.136363636
unknown,unknown,'full_bar',unknown,unknown,unknown,unknown,TRUE,unknown,TRUE,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,TRUE,TRUE,unknown,'loud',unknown,FALSE,unknown,unknown,unknown,TRUE,2,FALSE,unknown,unknown,unknown,unknown,'free',FALSE,unknown,unknown,TRUE,FALSE,unknown,unknown,unknown,FALSE,FALSE,FALSE,unknown,unknown,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,FALSE,unknown,FALSE,FALSE,unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,unknown,unknown,FALSE,29618,"Nightlife, Bars",Las Vegas,1,36.0113116,-115.1747074,Catalina Island Bar,89183,NV,,,,,,,,,,,,,,,,3
