beer1,beer1freq,beer2,beer2freq,beer3,beer3freq,beer4,beer4freq,beer5,beer5freq
play beer pong,14.0,beer happi hour,16.0,good beer select,60.0,great beer select,145.0,great beer select,210
order two beer,12.0,great beer select,16.0,great beer select,54.0,good beer select,94.0,great select beer,113
bar order beer,11.0,root beer float,16.0,good select beer,37.0,great select beer,86.0,select craft beer,95
order anoth beer,11.0,good beer select,14.0,root beer float,37.0,good select beer,67.0,beer select great,94
order coupl beer,11.0,happi hour beer,14.0,beer select good,33.0,root beer float,64.0,good beer select,86
beer happi hour,11.0,beer select great,14.0,beer select great,27.0,select beer tap,55.0,root beer float,80
root beer float,10.0,play beer pong,12.0,beer pong tabl,25.0,beer select good,50.0,food great beer,68
beer well drink,8.0,great select beer,12.0,food good beer,23.0,beer select great,49.0,craft beer select,65
beer this place,8.0,beer select pretti,11.0,draft beer select,22.0,beer pong tabl,48.0,beer select good,63
minut get beer,8.0,nice beer select,10.0,decent beer select,21.0,select craft beer,48.0,select beer tap,57
order beer water,7.0,beer select good,9.0,great select beer,20.0,food good beer,46.0,great beer great,53
happi hour beer,7.0,beer mix drink,9.0,ice cold beer,19.0,beer root beer,43.0,good select beer,51
wait minut beer,7.0,no draft beer,9.0,beer happi hour,19.0,craft beer select,39.0,food good beer,46
order beer took,7.0,beer this place,9.0,beer select food,16.0,happi hour beer,37.0,beer this place,45
charg us beer,6.0,minut get beer,8.0,select beer tap,16.0,draft beer select,33.0,craft beer tap,43
husband order beer,6.0,order two beer,8.0,beer select pretti,16.0,decent beer select,31.0,ice cold beer,39
beer order food,6.0,bar order beer,8.0,happi hour beer,15.0,nice select beer,31.0,great craft beer,38
beer mix drink,6.0,star beer select,8.0,nice beer select,14.0,beer chees dip,30.0,beer pong tabl,37
good beer select,6.0,order draft beer,7.0,lot beer tap,13.0,ice cold beer,29.0,great food beer,37
order draft beer,6.0,beer good food,7.0,pretti good beer,13.0,food great beer,27.0,beer chees dip,37
order second beer,6.0,ask anoth beer,7.0,select craft beer,13.0,good craft beer,27.0,beer ice cold,36
beer pong tabl,6.0,beer well drink,7.0,beer select decent,12.0,beer tap bottl,27.0,beer great servic,36
final got beer,6.0,food good beer,7.0,decent select beer,12.0,beer happi hour,26.0,awesom beer select,35
us order beer,5.0,no beer tap,6.0,beer chees dip,12.0,good beer good,26.0,huge select beer,35
one beer one,5.0,order anoth beer,6.0,larg select beer,11.0,play beer pong,25.0,select draft beer,34
beer miller lite,5.0,select beer tap,6.0,play beer pong,11.0,beer mix drink,25.0,beer select amaz,33
order beer food,5.0,beer tast like,6.0,beer this place,10.0,select draft beer,24.0,beer select awesom,33
