casino1,casino1freq,casino2,casino2freq,casino3,casino3freq,casino4,casino4freq,casino5,casino5freq
red rock casino,31.0,red rock casino,36.0,red rock casino,68.0,red rock casino,138,red rock casino,135.0
notaddin notaddth notaddcasino,20.0,notaddin notaddth notaddcasino,10.0,notaddof notaddth notaddcasino,21.0,casino las vega,33,palac station casino,49.0
casino las vega,16.0,notaddof notaddth notaddcasino,10.0,rock hotel casino,19.0,rock hotel casino,28,rock hotel casino,36.0
rock hotel casino,15.0,stay casino tower,9.0,notaddth notaddcasino notaddfloor,15.0,elli island casino,26,casino las vega,31.0
room casino tower,13.0,rock hotel casino,9.0,right casino floor,13.0,palac station casino,26,this hotel casino,25.0
hard rock casino,11.0,this hotel casino,9.0,notaddin notaddth notaddcasino,12.0,right casino floor,24,elli island casino,23.0
this hotel casino,8.0,room casino tower,9.0,casino las vega,11.0,rock casino resort,23,notaddin notaddth notaddcasino,22.0
hotel casino las,7.0,walk around casino,6.0,room casino tower,10.0,this hotel casino,23,locat casino floor,20.0
worst casino ever,7.0,bar middl casino,6.0,right middl casino,9.0,notaddth notaddcasino notaddfloor,22,love this casino,19.0
walk around casino,7.0,rock casino resort,5.0,notaddthrough notaddth notaddcasino,9.0,new york casino,21,casino this place,18.0
sls hotel casino,7.0,new york casino,5.0,rio hotel casino,8.0,notaddof notaddth notaddcasino,20,notaddof notaddth notaddcasino,18.0
this place casino,6.0,elli island casino,5.0,rock casino resort,8.0,walk around casino,20,pari hotel casino,18.0
rock casino resort,6.0,casino las vega,5.0,walk around casino,8.0,notaddthrough notaddth notaddcasino,19,rock casino resort,17.0
island hotel casino,6.0,this place casino,4.0,las vega casino,8.0,notaddin notaddth notaddcasino,19,locat insid casino,16.0
new york casino,5.0,notaddth notaddcasino notaddfloor,4.0,notaddin notadda notaddcasino,8.0,pari hotel casino,18,no casino no,16.0
notaddhotel notaddand notaddcasino,5.0,hard rock casino,4.0,pari hotel casino,8.0,hard rock casino,18,right casino floor,15.0
middl casino floor,5.0,notaddin notadda notaddcasino,4.0,island hotel casino,8.0,york hotel casino,16,new york casino,14.0
las vega casino,5.0,las vega casino,4.0,planet hollywood casino,8.0,las vega casino,16,las vega casino,14.0
notaddhotel notadd notaddcasino,5.0,hotel casino strip,4.0,casino tower room,8.0,locat casino floor,15,hard rock casino,14.0
notaddto notaddthi notaddcasino,5.0,mont carlo casino,4.0,hotel casino this,8.0,notaddin notadda notaddcasino,14,notaddthrough notaddth notaddcasino,14.0
bar insid casino,5.0,across casino floor,4.0,right next casino,7.0,casino this place,14,hotel casino las,14.0
way across casino,4.0,cigarett smoke casino,3.0,grand hotel casino,7.0,cosmopolitan hotel casino,14,hotel casino vega,13.0
casino smell like,4.0,hotel casino this,3.0,bar middl casino,7.0,right middl casino,13,chinatown clam casino,13.0
