cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
cocktail waitress,114.0,shrimp cocktail,76.0,shrimp cocktail,106.0,shrimp cocktail,194.0,craft cocktail,358
shrimp cocktail,48.0,cocktail waitress,76.0,cocktail waitress,91.0,cocktail menu,183.0,shrimp cocktail,337
order cocktail,40.0,order cocktail,43.0,cocktail menu,66.0,cocktail waitress,172.0,great cocktail,296
cocktail server,30.0,cocktail order,29.0,cocktail good,58.0,specialti cocktail,156.0,cocktail menu,271
one cocktail,25.0,cocktail menu,28.0,specialti cocktail,54.0,craft cocktail,148.0,cocktail waitress,215
cocktail menu,21.0,specialti cocktail,28.0,order cocktail,50.0,great cocktail,105.0,specialti cocktail,195
cocktail order,20.0,cocktail sauc,26.0,good cocktail,42.0,cocktail good,99.0,cocktail great,154
notadda notaddcocktail,17.0,cocktail good,23.0,cocktail sauc,40.0,good cocktail,88.0,amaz cocktail,146
specialti cocktail,16.0,notadda notaddcocktail,21.0,craft cocktail,33.0,signatur cocktail,87.0,cocktail bar,135
cocktail sauc,15.0,one cocktail,20.0,beer cocktail,29.0,enjoy cocktail,80.0,best cocktail,133
cocktail good,14.0,beer cocktail,19.0,signatur cocktail,27.0,beer cocktail,80.0,signatur cocktail,128
beer cocktail,14.0,craft cocktail,16.0,wine cocktail,26.0,cocktail sauc,79.0,cocktail sauc,126
signatur cocktail,14.0,cocktail bar,16.0,cocktail server,26.0,cocktail bar,78.0,delici cocktail,120
two cocktail,13.0,drink cocktail,16.0,cocktail list,24.0,order cocktail,72.0,food cocktail,110
cocktail servic,13.0,signatur cocktail,15.0,great cocktail,23.0,cocktail great,71.0,cocktail good,107
get cocktail,12.0,two cocktail,15.0,one cocktail,23.0,cocktail delici,60.0,cocktail delici,105
notaddth notaddcocktail,11.0,get cocktail,14.0,cocktail order,23.0,cocktail order,59.0,cocktail amaz,105
cocktail list,10.0,cocktail server,14.0,cocktail pretti,22.0,cocktail drink,59.0,cocktail server,95
cocktail bar,10.0,good cocktail,13.0,drink cocktail,21.0,cocktail list,58.0,good cocktail,95
make cocktail,10.0,cocktail came,13.0,cocktail loung,21.0,cocktail server,55.0,cocktail this,93
drink cocktail,10.0,cocktail appet,13.0,cocktail beer,20.0,cocktail wine,54.0,beer cocktail,90
ask cocktail,10.0,notaddth notaddcocktail,12.0,cocktail delici,19.0,delici cocktail,53.0,cocktail list,89
servic cocktail,9.0,food cocktail,11.0,two cocktail,19.0,wine cocktail,51.0,cocktail food,85
cocktail shrimp,9.0,cocktail drink,11.0,cocktail well,18.0,cocktail also,49.0,order cocktail,78
craft cocktail,9.0,cocktail servic,11.0,cocktail great,18.0,cocktail beer,49.0,enjoy cocktail,77
us cocktail,9.0,no cocktail,11.0,bar cocktail,18.0,drink cocktail,48.0,drink cocktail,75
good cocktail,8.0,cocktail list,11.0,get cocktail,18.0,food cocktail,47.0,cocktail ever,73
dinner cocktail,8.0,great cocktail,11.0,notaddth notaddcocktail,17.0,cocktail this,46.0,wine cocktail,73
cocktail tast,8.0,like cocktail,11.0,enjoy cocktail,17.0,cocktail servic,45.0,classic cocktail,73
cocktail bartend,8.0,cocktail delici,10.0,cocktail drink,17.0,classic cocktail,44.0,cocktail wine,71
notaddcocktail notaddwaitress,8.0,cocktail loung,10.0,cocktail appet,17.0,cocktail appet,43.0,cocktail also,71
water cocktail,7.0,cocktail food,10.0,free cocktail,17.0,cocktail enjoy,40.0,cocktail well,69
cocktail this,7.0,cocktail ok,9.0,champagn cocktail,17.0,cocktail well,39.0,cocktail loung,65
food cocktail,7.0,notaddcocktail notaddwaitress,9.0,cocktail glass,16.0,cocktail food,39.0,favorit cocktail,64
sip cocktail,7.0,cocktail this,9.0,cocktail this,16.0,cocktail realli,38.0,cocktail made,63
cocktail ask,7.0,cocktail friend,9.0,cocktail one,15.0,cocktail loung,38.0,cocktail realli,63
enjoy cocktail,7.0,cocktail made,8.0,cocktail ok,15.0,cocktail made,38.0,cocktail servic,62
cocktail drink,7.0,wine cocktail,8.0,price cocktail,15.0,special cocktail,37.0,cocktail appet,59
cocktail girl,7.0,cocktail glass,8.0,notadda notaddcocktail,14.0,one cocktail,36.0,start cocktail,59
no cocktail,7.0,cocktail great,8.0,cocktail like,14.0,tri cocktail,35.0,cocktail beer,58
serv cocktail,7.0,cocktail pretti,8.0,food cocktail,14.0,champagn cocktail,35.0,cocktail drink,56
