cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
order shrimp cocktail,10.0,order shrimp cocktail,9.0,order shrimp cocktail,11.0,order shrimp cocktail,19.0,hand craft cocktail,51
one cocktail waitress,7.0,one cocktail waitress,7.0,shrimp cocktail appet,7.0,hand craft cocktail,18.0,best cocktail ever,36
servic cocktail waitress,5.0,notadda notaddcocktail notaddwaitress,6.0,shrimp cocktail good,6.0,happi hour cocktail,18.0,one best cocktail,29
tabl cocktail waitress,4.0,bartend cocktail waitress,5.0,beer wine cocktail,6.0,cocktail happi hour,17.0,food great cocktail,27
cocktail tast like,4.0,cocktail sauc shrimp,4.0,cocktail realli good,6.0,cocktail this place,16.0,cocktail this place,27
night cocktail waitress,4.0,cocktail tast like,4.0,great cocktail menu,5.0,specialti cocktail menu,16.0,jumbo shrimp cocktail,22
shrimp cocktail good,4.0,shrimp cocktail appet,4.0,cocktail peopl watch,5.0,cocktail realli good,15.0,happi hour cocktail,21
this place cocktail,4.0,cocktail pretti good,4.0,cocktail pretti good,5.0,cocktail sauc horseradish,13.0,craft cocktail bar,19
downtown cocktail room,4.0,jumbo shrimp cocktail,4.0,happi hour cocktail,5.0,jumbo shrimp cocktail,12.0,cocktail high recommend,19
shrimp cocktail shrimp,3.0,cocktail friend order,4.0,friend cocktail waitress,5.0,one signatur cocktail,11.0,great cocktail great,19
food good cocktail,3.0,final got cocktail,3.0,drink order cocktail,4.0,craft cocktail bar,10.0,order shrimp cocktail,19
minut get cocktail,3.0,get free cocktail,3.0,servic great cocktail,4.0,select beer cocktail,10.0,great craft cocktail,17
cocktail waitress come,3.0,crab meat cocktail,3.0,cocktail glass wine,4.0,shrimp cocktail appet,10.0,cocktail realli good,17
specialti cocktail menu,3.0,cocktail well made,3.0,realli good cocktail,4.0,beer wine cocktail,10.0,cocktail wine list,16
cocktail waitress would,3.0,cocktail worth notadd,3.0,food good cocktail,4.0,old fashion cocktail,10.0,shrimp cocktail appet,16
cocktail waitress seem,3.0,specialti cocktail menu,3.0,cocktail two appet,4.0,pre dinner cocktail,10.0,make great cocktail,16
cocktail menu order,3.0,pre dinner cocktail,3.0,order cocktail instead,4.0,shrimp cocktail good,10.0,downtown cocktail room,15
