business_id,stars,NoiseLevel,RestaurantsPriceRange2
91868,3.890909091,'loud',2
143668,4.301587302,'average',1
79854,4.666666667,unknown,2
87650,4.666666667,unknown,2
33029,2.3125,unknown,2
11250,3.785714286,unknown,unknown
185658,4.117021277,'loud',2
63838,3.375,'average',1
184144,3.1363636360000005,'loud',2
29618,3.0,'loud',2
169759,4.295454545,'average',2
140230,3.333333333,'loud',2
175053,3.2,unknown,unknown
98471,4.222222222,unknown,2
181507,3.6,unknown,2
88747,4.25,unknown,2
15810,4.407942238,'average',2
187085,4.243902439,'average',2
63046,3.537634409,'average',3
120649,3.685185185,'average',1
87657,3.217391304,'average',1
15125,2.285714286,unknown,3
110104,4.553191489,unknown,3
44658,3.8181818180000002,'average',1
41738,3.3553719010000003,'average',2
9152,3.0,unknown,4
127877,3.545454545,unknown,unknown
37740,3.73540856,'average',3
185769,4.1779359430000005,'average',2
25918,3.9819819819999998,'average',2
23314,3.519313305,'average',2
43001,4.587096774,'average',2
142312,3.0629800310000004,'loud',2
13269,4.168539326,'loud',2
153845,3.661243463,'average',2
112963,4.671641791,'average',2
97837,4.2697368419999995,'average',2
81619,3.529411765,'loud',2
143676,3.2,'quiet',2
46361,3.5,'average',2
113526,3.16,'very_loud',1
145030,2.833333333,unknown,2
97422,3.833333333,'average',2
188352,3.80952381,'loud',2
191515,5.0,unknown,unknown
19624,3.027777778,'average',2
14930,3.0,'average',2
67070,3.6811145510000003,'average',2
58386,3.730769231,'quiet',2
95612,3.4,unknown,unknown
169272,3.031746032,unknown,3
67211,3.9727891160000004,'loud',3
180005,4.481481481,unknown,2
94932,3.315789474,'very_loud',2
101708,4.061216105,'average',3
31203,2.806451613,'loud',2
52561,5.0,'very_loud',2
92097,2.2,unknown,2
150179,4.128205128,'average',2
135546,3.807142857,'average',2
119128,4.428571429,'average',1
190528,5.0,'average',1
138709,3.285714286,unknown,2
143487,4.589608873,'average',2
125478,4.267223382,'average',2
24975,3.0512820510000003,'average',2
100535,4.045238095,'average',2
80168,3.571428571,'average',2
192547,3.552213868,'average',2
137030,3.024096386,'average',2
44365,4.333333333,'average',2
96069,3.923379175,'average',2
149383,1.8,unknown,unknown
180228,3.0,'loud',2
65124,4.567717996,'average',2
117028,4.197916667,'average',2
189018,4.555555556,unknown,4
36216,3.620512821,'quiet',2
51946,3.7663088360000003,'average',2
181599,2.555555556,'very_loud',3
130178,3.450060901,'average',2
34159,3.70210136,'very_loud',3
184798,2.25,'loud',1
178428,3.475471698,'very_loud',3
145270,4.815789474,'average',2
29977,4.4,'loud',1
95947,2.4349775780000003,'average',2
103432,4.48,'average',1
84876,2.6,'average',1
56703,3.0694444439999997,'loud',1
57131,2.111111111,unknown,3
66961,3.814814815,'average',2
97739,3.379310345,'average',2
61603,4.234782609,unknown,3
157078,2.963350785,'average',2
83806,5.0,'loud',2
35921,4.2,unknown,2
129138,3.196217494,'average',2
162637,4.03960396,'average',3
103022,3.570093458,'average',2
187126,3.802197802,'average',3
53617,2.525,'average',3
9439,3.937462052,'average',2
100351,3.785714286,'average',1
83646,3.64,unknown,2
41608,3.4190476189999996,'average',2
1611,4.064156206,'average',3
176486,4.1875,'average',1
15992,3.5675675680000003,'quiet',3
30934,3.967741935,'average',2
62279,3.9142857139999996,'average',2
70447,3.869918699,'average',2
77026,3.817247821,'very_loud',3
88844,3.666666667,'average',1
113684,3.0,unknown,unknown
115525,3.1818181819999998,'average',2
7662,4.092307691999999,'average',2
98768,1.888888889,'loud',3
87854,3.5579119089999995,'very_loud',3
21791,3.9751861039999996,'average',2
189740,3.571428571,'average',2
149708,3.16,'average',2
143085,4.42139738,'average',3
72765,3.263157895,unknown,2
95545,2.85106383,unknown,2
75372,4.208333333,unknown,2
112167,3.357142857,'loud',2
154845,2.9063291139999996,'average',2
75646,3.0,unknown,2
32321,4.244897958999999,unknown,2
3726,1.4,'loud',3
51763,3.967391304,'average',2
18381,3.772222222,'average',2
104540,4.571428571,'average',2
181473,4.129807692,'average',2
77793,3.8285714289999997,'average',2
192152,3.2797494780000003,'loud',2
108079,3.986111111,'average',3
141173,2.7317073169999997,'very_loud',3
169987,4.220183486,'average',1
132871,3.254143646,'very_loud',3
126987,3.272727273,'average',2
115342,3.565972222,'average',2
71568,3.4371345030000002,'average',2
131725,3.534146341,'average',3
39311,3.4444444439999997,unknown,3
167361,2.9148936169999997,'loud',2
66547,3.4196721310000004,'loud',2
130669,2.470588235,'average',2
72778,1.0,unknown,2
66605,3.238095238,unknown,4
70764,3.3015873019999997,'loud',2
1864,4.131313131000001,'average',2
56114,3.0521172639999996,'loud',2
108872,2.8,'average',4
51100,3.068965517,'very_loud',1
94272,3.827586207,'average',2
86734,3.9375,'loud',2
189186,3.12,'loud',2
82233,4.168336673,'quiet',3
171320,4.069069069,'average',3
178230,3.78125,unknown,2
156267,2.348242812,'very_loud',2
113552,3.575,'average',1
177897,4.75,'average',1
189704,4.066666667,'average',1
67161,2.5714285709999998,'quiet',1
20365,4.0,unknown,1
66821,4.285046728999999,'average',2
149294,2.9665551839999997,'loud',2
122000,4.333333333,'quiet',1
26698,2.0,'quiet',1
143178,3.142857143,'average',2
142556,2.111111111,'loud',2
67262,4.106870229,'average',2
189244,3.333333333,'average',2
129335,4.354166667,'average',2
130528,3.260869565,'average',1
172318,3.580246914,'average',2
106980,4.607692308,'average',1
138374,3.6040268460000005,'average',2
46777,3.673469388,'average',1
114259,3.873563218,'average',2
76471,3.293466224,unknown,2
71945,4.071428571,'average',1
76613,3.811320755,'average',2
125290,3.8059701489999997,'quiet',3
74656,3.071428571,'average',1
30814,3.791497976,'average',2
13941,3.516129032,'quiet',1
26701,4.814516128999999,'average',2
188374,4.0,'very_loud',2
115859,4.117647058999999,'average',1
29061,4.25,unknown,1
125904,3.723910172,'average',3
104343,4.034482758999999,'average',1
149873,3.427312775,'average',2
153699,3.888888889,unknown,4
137119,3.727272727,'average',2
186202,4.4375,'quiet',3
69973,3.852459016,'average',2
89791,4.294117647,'loud',2
161133,4.333333333,'very_loud',2
139373,4.594520548,'quiet',2
31759,3.84,'average',2
3163,4.095238095,'average',1
167478,4.269662921,'loud',2
13883,3.185185185,'average',2
128788,3.654135338,'average',2
30558,4.214285714,'average',1
26931,3.833333333,'average',1
160452,3.981402003,'average',2
11238,4.12704918,'average',2
50310,4.117647058999999,'loud',2
41984,3.3784194530000002,'average',2
126841,3.0,unknown,1
163012,3.791817088,'average',2
145603,2.75,unknown,2
162989,3.545977011,'very_loud',2
67600,4.1111111110000005,'very_loud',2
60990,3.0555555560000003,unknown,2
181051,3.442622951,'average',2
175353,3.528301887,'average',2
62528,3.553424658,'very_loud',3
45222,4.158163265,'average',3
188375,4.076923077,'average',1
91344,3.692592593,'average',2
49115,4.081632653,'quiet',2
145313,3.620168067,'average',2
115446,3.8313069910000004,'average',2
41320,3.5857843139999996,'very_loud',2
160863,3.9379844960000003,'average',3
135421,4.909722222,'quiet',1
60688,2.6,'average',2
120201,3.333333333,unknown,2
161532,3.8148893360000002,'average',2
172014,3.7833333330000003,'average',2
78434,3.933333333,'average',1
45072,4.0,unknown,3
127376,3.143589744,'average',2
175149,3.9411764710000003,'average',1
32602,3.6,'average',1
73226,3.803571429,'quiet',3
47640,4.387179487,'average',2
87596,2.666666667,'quiet',2
144870,4.1,'average',1
92857,3.644230769,'average',2
