beer1,beer1freq,beer2,beer2freq,beer3,beer3freq,beer4,beer4freq,beer5,beer5freq
order beer,209.0,beer select,207.0,beer select,480.0,beer select,910.0,beer select,1103
draft beer,86.0,order beer,118.0,good beer,198.0,beer tap,453.0,craft beer,666
beer select,80.0,draft beer,114.0,beer tap,179.0,craft beer,420.0,great beer,657
one beer,72.0,beer tap,78.0,select beer,159.0,select beer,409.0,beer tap,547
drink beer,68.0,good beer,73.0,draft beer,157.0,good beer,373.0,select beer,410
beer order,67.0,beer list,65.0,craft beer,156.0,great beer,362.0,good beer,367
get beer,64.0,craft beer,59.0,order beer,110.0,draft beer,292.0,beer great,302
bottl beer,53.0,select beer,57.0,beer pong,106.0,root beer,262.0,draft beer,294
beer pong,52.0,get beer,56.0,drink beer,106.0,beer pong,246.0,beer pong,242
ask beer,48.0,drink beer,56.0,great beer,103.0,beer list,204.0,root beer,241
two beer,45.0,beer order,49.0,beer list,101.0,beer wine,177.0,beer list,219
beer tap,45.0,beer good,49.0,root beer,95.0,beer good,172.0,beer wine,217
beer ask,40.0,root beer,47.0,beer good,85.0,cold beer,162.0,cold beer,202
craft beer,38.0,beer pong,43.0,beer menu,67.0,beer menu,155.0,food beer,196
beer good,35.0,bottl beer,40.0,beer batter,66.0,drink beer,155.0,beer good,165
anoth beer,35.0,one beer,40.0,cold beer,65.0,beer great,143.0,taco beer,162
beer menu,31.0,beer food,40.0,get beer,58.0,order beer,134.0,beer food,159
beer cold,31.0,two beer,38.0,beer food,58.0,beer food,116.0,drink beer,143
beer no,31.0,great beer,37.0,beer cold,56.0,beer batter,106.0,wine beer,133
no beer,29.0,beer this,33.0,beer wine,56.0,wine beer,103.0,beer menu,126
free beer,29.0,beer cold,32.0,food beer,53.0,beer chees,103.0,beer this,120
beer food,29.0,beer menu,31.0,beer chees,53.0,food beer,99.0,beer chees,115
got beer,28.0,anoth beer,30.0,decent beer,52.0,free beer,88.0,ginger beer,108
beer bar,28.0,beer batter,28.0,free beer,51.0,ginger beer,83.0,free beer,104
beer list,27.0,burger beer,28.0,beer price,50.0,bottl beer,82.0,beer cold,99
cold beer,27.0,beer price,27.0,coupl beer,48.0,beer cocktail,80.0,best beer,98
grab beer,27.0,beer great,27.0,burger beer,47.0,like beer,79.0,beer float,96
beer glass,27.0,free beer,26.0,beer bar,47.0,burger beer,78.0,order beer,94
beer came,27.0,beer get,25.0,price beer,46.0,brew beer,77.0,amaz beer,93
select beer,27.0,got beer,25.0,beer order,46.0,beer price,74.0,beer drink,93
food beer,27.0,beer ask,24.0,lot beer,46.0,beer this,74.0,beer batter,92
coupl beer,27.0,beer garden,24.0,bottl beer,45.0,lot beer,74.0,beer cocktail,90
good beer,26.0,beer came,23.0,like beer,44.0,beer float,73.0,varieti beer,87
beer wait,26.0,food beer,23.0,beer this,41.0,beer drink,72.0,beer park,87
