casino1,casino1freq,casino2,casino2freq,casino3,casino3freq,casino4,casino4freq,casino5,casino5freq
hotel casino,101.0,hotel casino,100.0,hotel casino,200.0,hotel casino,402,hotel casino,397.0
casino floor,73.0,casino floor,82.0,casino floor,177.0,casino floor,380,casino floor,279.0
this casino,60.0,this casino,47.0,notaddth notaddcasino,93.0,notaddth notaddcasino,172,rock casino,149.0
rock casino,42.0,notaddth notaddcasino,46.0,rock casino,73.0,rock casino,157,this casino,136.0
notaddth notaddcasino,41.0,casino tower,46.0,this casino,61.0,this casino,147,notaddth notaddcasino,128.0
station casino,32.0,rock casino,40.0,casino bar,53.0,casino bar,111,station casino,100.0
casino tower,30.0,casino bar,36.0,casino hotel,49.0,casino restaur,109,casino hotel,99.0
go casino,24.0,insid casino,27.0,casino tower,48.0,casino hotel,92,no casino,94.0
walk casino,24.0,middl casino,26.0,middl casino,45.0,station casino,90,casino bar,84.0
insid casino,23.0,casino hotel,25.0,notadda notaddcasino,44.0,casino has,88,casino this,80.0
casino restaur,23.0,casino get,23.0,casino area,41.0,casino area,88,notadda notaddcasino,80.0
casino this,21.0,casino this,22.0,insid casino,39.0,casino strip,85,insid casino,76.0
casino hotel,21.0,casino restaur,21.0,casino restaur,37.0,insid casino,82,casino strip,74.0
casino get,19.0,casino area,21.0,casino this,36.0,walk casino,80,middl casino,61.0
bar casino,17.0,walk casino,20.0,casino strip,35.0,middl casino,69,casino has,61.0
casino bar,17.0,casino strip,20.0,strip casino,35.0,strip casino,65,casino restaur,60.0
casino host,17.0,casino host,16.0,casino get,31.0,casino this,65,strip casino,58.0
room casino,17.0,casino nice,15.0,restaur casino,30.0,casino resort,61,walk casino,58.0
casino area,16.0,restaur casino,15.0,casino has,30.0,vega casino,60,casino vega,54.0
casino las,16.0,notadda notaddcasino,14.0,walk casino,29.0,local casino,57,casino resort,53.0
around casino,16.0,casino would,13.0,casino small,28.0,casino great,54,local casino,53.0
vega casino,15.0,around casino,13.0,vega casino,26.0,like casino,52,bar casino,52.0
worst casino,15.0,casino has,13.0,casino pretti,26.0,casino get,51,casino great,52.0
casino resort,14.0,across casino,12.0,bar casino,25.0,bar casino,49,casino area,52.0
casino would,13.0,strip casino,12.0,station casino,23.0,casino nice,49,favorit casino,47.0
strip casino,13.0,casino small,12.0,room casino,23.0,casino small,49,restaur casino,46.0
casino play,13.0,station casino,12.0,casino vega,22.0,casino tower,49,vega casino,44.0
casino got,12.0,casino look,12.0,casino resort,21.0,restaur casino,47,locat casino,42.0
casino look,12.0,vega casino,12.0,small casino,21.0,notadda notaddcasino,47,great casino,42.0
casino ever,12.0,room casino,12.0,casino nice,21.0,casino realli,45,casino nice,41.0
anoth casino,12.0,stay casino,11.0,casino realli,20.0,nice casino,43,casino food,36.0
casino strip,12.0,casino resort,11.0,right casino,19.0,right casino,42,casino get,35.0
casino even,12.0,like casino,10.0,casino food,19.0,away casino,41,around casino,34.0
restaur casino,11.0,rest casino,10.0,casino would,19.0,around casino,40,nice casino,33.0
place casino,11.0,anoth casino,10.0,notaddcasino notaddfloor,19.0,small casino,40,right casino,32.0
notadda notaddcasino,11.0,locat casino,10.0,locat casino,18.0,casino vega,39,casino no,32.0
casino secur,11.0,casino vega,10.0,outsid casino,18.0,casino pretti,39,casino also,32.0
middl casino,11.0,casino like,9.0,go casino,18.0,casino would,37,away casino,31.0
casino small,11.0,get casino,9.0,around casino,17.0,resort casino,36,casino las,31.0
casino has,10.0,small casino,9.0,open casino,16.0,go casino,35,casino host,30.0
gambl casino,10.0,casino need,9.0,like casino,16.0,locat casino,34,casino one,30.0
across casino,10.0,casino also,9.0,casino level,16.0,open casino,33,casino well,30.0
one casino,10.0,go casino,9.0,next casino,15.0,casino las,33,casino level,29.0
notaddthi notaddcasino,10.0,nice casino,9.0,casino like,15.0,favorit casino,33,venetian casino,26.0
casino tri,9.0,casino find,8.0,casino look,15.0,great casino,33,casino tabl,26.0
way casino,9.0,casino pretti,8.0,review casino,15.0,casino like,31,like casino,26.0
notaddhotel casino,9.0,money casino,8.0,notaddoth notaddcasino,15.0,island casino,30,casino clean,26.0
casino go,9.0,time casino,8.0,casino locat,14.0,room casino,30,island casino,26.0
casino vega,9.0,notaddhotel casino,8.0,get casino,14.0,notaddcasino notaddfloor,29,resort casino,26.0
casino no,9.0,casino great,8.0,floor casino,14.0,casino casino,29,casino definit,24.0
casino food,9.0,casino smell,7.0,casino near,14.0,casino locat,28,casino realli,24.0
money casino,9.0,casino well,7.0,casino walk,14.0,casino food,27,clam casino,24.0
back casino,8.0,drink casino,7.0,casino casino,14.0,casino littl,27,room casino,24.0
favorit casino,8.0,casino play,7.0,back casino,14.0,casino good,27,go casino,23.0
casino could,8.0,part casino,7.0,casino great,14.0,gambl casino,26,casino go,23.0
casino one,8.0,casino pool,7.0,island casino,14.0,casino one,25,casino walk,22.0
casino room,8.0,clam casino,7.0,view casino,13.0,casino no,25,best casino,22.0
casino manag,8.0,resort casino,7.0,one casino,13.0,good casino,25,casino game,22.0
aria casino,8.0,entir casino,7.0,smoke casino,13.0,mgm casino,24,casino good,22.0
sls casino,8.0,play casino,7.0,casino good,13.0,casino walk,24,casino small,22.0
casino use,7.0,smoke casino,6.0,compar casino,12.0,casino staff,24,notaddoth notaddcasino,22.0
notaddcasino notaddto,7.0,casino went,6.0,casino cafe,12.0,stay casino,24,casino pretti,22.0
open casino,7.0,place casino,6.0,side casino,12.0,casino also,24,casino like,21.0
notaddand notaddcasino,7.0,casino cafe,6.0,typic casino,12.0,casino definit,24,casino feel,21.0
no casino,7.0,side casino,6.0,casino las,12.0,notaddoth notaddcasino,24,small casino,21.0
servic casino,7.0,one casino,6.0,place casino,12.0,casino level,24,back casino,21.0
casino pretti,7.0,floor casino,6.0,stay casino,12.0,no casino,24,casino love,21.0
mani casino,7.0,smaller casino,6.0,away casino,12.0,back casino,23,notaddcasino notaddand,20.0
casino employe,7.0,casino even,6.0,casino one,12.0,casino room,23,casino room,20.0
casino also,7.0,look casino,6.0,time casino,12.0,smoki casino,23,casino look,20.0
casino drink,7.0,casino one,6.0,local casino,12.0,york casino,21,smoke casino,20.0
lobbi casino,7.0,bar casino,6.0,main casino,12.0,one casino,21,view casino,19.0
stay casino,7.0,better casino,6.0,casino expect,11.0,casino go,21,drink casino,19.0
casino want,6.0,pari casino,6.0,casino no,11.0,casino right,21,mgm casino,19.0
notaddtheir notaddcasino,6.0,casino walk,6.0,notaddcasino notaddand,11.0,casino play,21,casino would,19.0
palm casino,6.0,casino probabl,6.0,casino drink,11.0,pari casino,21,casino alway,19.0
casino like,6.0,casino casino,6.0,casino right,11.0,casino still,20,casino stay,18.0
casino take,6.0,island casino,6.0,throughout casino,11.0,place casino,20,casino want,18.0
casino staff,6.0,casino food,6.0,casino tabl,11.0,main casino,20,clean casino,18.0
casino smell,6.0,new casino,6.0,casino go,11.0,time casino,20,casino gambl,18.0
entir casino,6.0,casino super,6.0,across casino,11.0,casino love,20,casino bit,18.0
peopl casino,6.0,eat casino,5.0,aria casino,11.0,casino well,20,casino fun,18.0
casino ask,6.0,casino right,5.0,within casino,11.0,outsid casino,20,casino shop,17.0
smoke casino,6.0,casino locat,5.0,casino price,10.0,venetian casino,19,gambl casino,17.0
work casino,6.0,casino open,5.0,casino littl,10.0,end casino,19,casino smell,17.0
drink casino,6.0,casino servic,5.0,casino also,10.0,casino look,19,casino lot,17.0
casino realli,6.0,notaddcasino notaddfloor,5.0,enter casino,10.0,side casino,19,casino locat,17.0
even casino,6.0,downtown casino,5.0,overlook casino,10.0,casino servic,19,casino staff,17.0
casino gambl,5.0,casino sinc,5.0,play casino,10.0,casino gambl,19,palm casino,17.0
casino pool,5.0,open casino,5.0,resort casino,10.0,casino open,18,get casino,17.0
casino bad,5.0,casino make,5.0,anoth casino,10.0,casino smell,18,casino even,17.0
casino ca,5.0,servic casino,5.0,nice casino,10.0,casino bit,18,casino seem,17.0
york casino,5.0,away casino,5.0,casino ok,10.0,notaddcasino notaddand,18,orlean casino,17.0
casino definit,5.0,casino room,5.0,casino first,9.0,next casino,18,next casino,16.0
casino told,5.0,end casino,5.0,smoki casino,9.0,overlook casino,18,near casino,16.0
smoki casino,5.0,good casino,5.0,casino make,9.0,old casino,18,lobbi casino,16.0
casino went,5.0,casino see,5.0,major casino,9.0,littl casino,18,casino lobbi,16.0
casino give,5.0,casino seem,5.0,money casino,9.0,casino lot,18,pool casino,16.0
casino part,5.0,casino ok,5.0,casino come,9.0,casino clean,18,notaddcasino notaddto,16.0
casino still,5.0,casino clean,5.0,casino lobbi,9.0,near casino,18,open casino,15.0
casino side,5.0,expect casino,5.0,casino much,9.0,casino fun,18,everi casino,15.0
casino near,5.0,local casino,5.0,old casino,9.0,lobbi casino,18,good casino,15.0
notaddcasino notaddagain,5.0,casino royal,5.0,better casino,9.0,get casino,17,one casino,15.0
casino machin,5.0,york casino,5.0,casino smoke,9.0,notaddcasino notaddto,17,smoki casino,15.0
new casino,5.0,thru casino,5.0,everi casino,9.0,within casino,17,place casino,15.0
outsid casino,5.0,notaddcasino notaddto,5.0,casino room,9.0,casino stay,17,casino breweri,15.0
notadd notaddcasino,5.0,casino no,5.0,smokey casino,9.0,aria casino,17,within casino,15.0
casino treat,5.0,casino first,5.0,casino bit,9.0,casino breweri,17,play casino,15.0
corner casino,5.0,casino eat,5.0,casino open,8.0,view casino,16,beauti casino,15.0
entranc casino,5.0,notaddoth notaddcasino,5.0,casino servic,8.0,casino make,16,main casino,15.0
whole casino,5.0,casino las,5.0,mgm casino,8.0,casino find,16,casino royal,14.0
pari casino,5.0,smokey casino,5.0,end casino,8.0,big casino,16,york casino,14.0
line casino,5.0,experi casino,5.0,casino entranc,8.0,smoke casino,16,smokey casino,14.0
casino wait,5.0,casino next,4.0,casino check,8.0,orlean casino,16,casino littl,14.0
main casino,5.0,casino take,4.0,notaddcasino notaddfor,8.0,major casino,15,casino make,14.0
island casino,5.0,casino still,4.0,casino downtown,8.0,casino pool,15,notaddcasino notaddin,14.0
end casino,5.0,outsid casino,4.0,drink casino,8.0,casino alway,15,casino friend,14.0
ever casino,4.0,center casino,4.0,good casino,8.0,casino want,15,cosmopolitan casino,14.0
casino entranc,4.0,casino place,4.0,elev casino,8.0,price casino,15,casino take,14.0
casino put,4.0,casino tri,4.0,shop casino,8.0,pool casino,15,casino much,14.0
let casino,4.0,area casino,4.0,casino think,8.0,palazzo casino,15,casino could,14.0
casino good,4.0,casino good,4.0,center casino,8.0,casino offer,15,stay casino,14.0
notaddcasino notaddand,4.0,casino decid,4.0,casino seem,8.0,review casino,15,casino casino,14.0
casino pleas,4.0,casino near,4.0,casino went,8.0,center casino,15,casino come,14.0
notaddcasino notaddor,4.0,casino drink,4.0,casino still,8.0,love casino,15,pari casino,14.0
side casino,4.0,casino stay,4.0,mani casino,8.0,casino side,14,casino offer,13.0
wynn casino,4.0,casino realli,4.0,lobbi casino,8.0,compar casino,14,littl casino,13.0
play casino,4.0,casino around,4.0,hollywood casino,8.0,expect casino,14,casino enjoy,13.0
call casino,4.0,notaddcasino notaddand,4.0,corner casino,7.0,casino tabl,14,outsid casino,13.0
casino know,4.0,casino entranc,4.0,part casino,7.0,notaddhotel casino,14,mani casino,13.0
lost casino,4.0,casino park,4.0,casino smaller,7.0,casino club,14,binion casino,13.0
notaddin notaddcasino,4.0,venetian casino,4.0,averag casino,7.0,servic casino,14,casino best,13.0
review casino,4.0,back casino,4.0,way casino,7.0,look casino,14,elev casino,13.0
casino player,4.0,old casino,4.0,smell casino,7.0,casino shop,14,casino tower,13.0
casino mani,4.0,desk casino,4.0,expect casino,7.0,way casino,14,casino still,12.0
els casino,4.0,whole casino,4.0,casino sure,7.0,casino friend,14,casino right,12.0
time casino,4.0,casino smoke,4.0,whole casino,7.0,casino even,14,side casino,12.0
casino gave,4.0,casino made,4.0,food casino,7.0,shop casino,14,notaddcasino notaddfloor,12.0
