words,frequency
great,75016
food,65563
place,57373
good,48227
service,45173
vegas,42258
time,35093
best,34038
amazing,33156
one,31557
back,28904
like,28489
us,26041
get,25701
bar,25687
go,24195
delicious,23758
also,23704
really,23438
love,22834
definitely,22033
restaurant,21112
would,20974
well,20628
drinks,19948
nice,19671
NOT_the,19087
night,18887
got,18064
always,17945
ordered,17726
menu,17718
awesome,17165
staff,16843
friendly,16682
try,16348
came,16240
experience,16207
made,16199
come,15895
even,15802
NOT_to,15702
ever,14913
everything,14443
first,14393
burger,13729
dinner,13668
recommend,13550
excellent,13376
could,13284
no,13205
went,13090
every,13002
strip,12925
chicken,12864
favorite,12796
make,12757
NOT_a,12562
server,12479
people,12394
perfect,12021
little,11979
drink,11584
atmosphere,11406
right,11325
meal,11189
table,11079
next,11005
happy,10750
steak,10609
fun,10518
las,10408
sure,10359
much,10337
order,10213
ca,10196
cheese,10163
worth,10000
super,9673
loved,9609
top,9596
new,9378
friends,9358
two,9351
eat,9276
beer,9221
fresh,9106
room,9059
must,9025
sauce,8983
want,8899
way,8892
pretty,8869
day,8749
around,8641
wait,8636
know,8589
going,8501
music,8481
say,8405
wine,8241
fries,8127
salad,8053
hour,7974
see,7953
spot,7829
dessert,7816
side,7724
fantastic,7693
highly,7690
better,7666
visit,7633
times,7459
NOT_and,7440
last,7425
attentive,7402
still,7200
wonderful,7034
since,7023
NOT_it,7001
area,6990
take,6982
club,6972
sweet,6870
coming,6842
many,6829
NOT_of,6805
think,6797
hotel,6736
NOT_,6734
everyone,6713
dish,6693
different,6487
looking,6476
bit,6437
feel,6424
town,6419
absolutely,6414
tried,6366
free,6341
special,6316
cooked,6291
flavor,6285
check,6275
bartender,6271
cool,6270
shrimp,6264
big,6264
party,6231
enjoyed,6155
lunch,6127
bread,6058
view,6009
dining,6008
took,6003
beautiful,5968
lot,5950
full,5940
tasty,5934
fried,5831
friend,5829
something,5809
dishes,5795
lobster,5772
perfectly,5770
huge,5755
small,5727
waiter,5690
long,5684
husband,5655
inside,5618
thing,5600
location,5578
selection,5570
though,5530
prices,5450
enjoy,5427
crab,5419
taste,5397
course,5376
price,5374
find,5372
tacos,5331
NOT_i,5330
away,5328
pool,5307
give,5300
outside,5276
restaurants,5247
served,5246
chef,5244
beef,5182
hot,5166
trip,5105
another,5050
said,5015
thank,5011
NOT_in,5003
wanted,4960
NOT_for,4915
let,4915
chocolate,4895
far,4821
group,4814
family,4811
house,4793
places,4785
home,4760
quality,4759
thai,4718
enough,4717
large,4682
decided,4655
spicy,4653
stars,4608
ask,4587
show,4540
cocktails,4495
NOT_be,4491
rice,4460
pork,4432
birthday,4429
wife,4428
NOT_wait,4418
meat,4415
overall,4398
bartenders,4390
decor,4367
things,4363
NOT_but,4348
open,4340
waitress,4295
pizza,4282
burgers,4244
cream,4241
without,4230
casino,4219
point,4197
pm,4175
oh,4170
probably,4170
clean,4165
need,4143
bacon,4106
NOT_this,4081
stop,4080
crispy,4059
found,4052
years,4035
gave,4030
line,4029
especially,4026
mexican,4001
ambiance,4000
end,3986
makes,3961
care,3958
actually,3945
NOT_that,3940
seated,3923
soup,3909
high,3904
breakfast,3900
lounge,3900
list,3867
kind,3865
chips,3861
wow,3857
note,3821
fish,3806
couple,3805
NOT_was,3803
stay,3788
started,3753
old,3727
NOT_go,3722
cocktail,3722
garlic,3712
live,3699
customer,3675
floor,3671
incredible,3666
whole,3664
review,3626
helpful,3620
appetizer,3611
sit,3603
NOT_have,3585
asked,3576
yummy,3575
sat,3573
name,3570
half,3570
recommended,3562
start,3562
seafood,3550
thanks,3548
look,3524
yes,3503
NOT_on,3500
tables,3499
brought,3487
red,3461
usually,3460
outstanding,3457
flavors,3455
NOT_you,3451
thought,3449
work,3429
minutes,3410
NOT_with,3409
second,3392
quite,3387
getting,3386
hard,3379
busy,3377
brunch,3364
tender,3359
ate,3330
manager,3303
part,3302
local,3296
walk,3278
ice,3266
three,3263
beers,3260
guys,3234
eating,3216
guy,3209
tasted,3195
water,3172
comes,3170
plate,3164
keep,3162
almost,3157
front,3151
quick,3151
reservation,3148
NOT_at,3133
cake,3131
mouth,3117
weekend,3102
able,3099
mac,3095
italian,3091
potatoes,3089
making,3087
plus,3082
extremely,3080
vibe,3070
wings,3060
style,3053
items,3042
patio,3038
nothing,3036
portions,3036
servers,3032
star,3020
left,3016
put,3015
late,3011
hours,3000
told,2996
seating,2987
soon,2987
watch,2979
wish,2966
world,2957
flavorful,2957
butter,2956
light,2949
filet,2949
NOT_back,2941
dance,2939
girls,2935
french,2934
NOT_had,2930
tell,2921
yelp,2911
extra,2909
appetizers,2904
year,2901
main,2900
evening,2894
unique,2891
bring,2874
bite,2874
anything,2874
reviews,2871
options,2862
fast,2861
however,2858
week,2858
yet,2857
glad,2824
life,2818
else,2812
truffle,2809
rib,2799
located,2796
pasta,2793
least,2793
die,2786
lots,2777
perfection,2774
oysters,2769
NOT_as,2743
potato,2716
several,2713
short,2686
return,2669
bottle,2663
sandwich,2640
boyfriend,2619
glass,2618
hands,2612
entire,2602
NOT_too,2593
totally,2591
duck,2587
real,2581
bad,2557
shared,2546
felt,2543
lol,2524
NOT_my,2521
walked,2498
kitchen,2497
truly,2496
maybe,2493
may,2488
reasonable,2483
grilled,2478
warm,2478
NOT_disappointed,2477
early,2476
share,2468
door,2467
sunday,2463
easy,2451
although,2447
along,2447
plenty,2446
ended,2444
saturday,2442
NOT_here,2438
comfortable,2438
reservations,2436
NOT_place,2435
looked,2430
salsa,2426
notch,2421
street,2419
salmon,2413
anyone,2408
NOT_so,2404
NOT_is,2385
arrived,2382
date,2376
rock,2370
white,2365
prepared,2361
pan,2353
packed,2350
already,2349
close,2343
egg,2331
trying,2329
person,2325
rooms,2325
choice,2323
impressed,2319
pricey,2318
crowd,2300
NOT_food,2293
liked,2280
gem,2277
game,2270
level,2264
roast,2249
amount,2246
fabulous,2238
size,2235
eaten,2234
seriously,2230
finally,2229
days,2226
job,2222
desserts,2214
money,2213
portion,2204
hit,2199
deal,2197
remember,2192
green,2186
dj,2185
expensive,2180
stayed,2177
medium,2175
might,2171
NOT_get,2168
corn,2165
pie,2154
saw,2153
waiting,2144
black,2144
NOT_all,2142
onion,2140
man,2140
knowledgeable,2139
pay,2135
steaks,2128
downtown,2128
eggs,2127
sides,2126
bone,2125
fine,2108
beyond,2108
regular,2089
expect,2084
gets,2082
play,2080
sea,2077
kept,2077
NOT_like,2074
authentic,2070
variety,2060
knew,2053
cut,2053
quickly,2052
stopped,2050
priced,2043
tasting,2043
later,2040
yum,2038
twice,2009
juicy,2002
visiting,2001
greeted,1997
often,1996
parking,1991
NOT_only,1990
used,1982
phenomenal,1979
friday,1963
rare,1962
meals,1957
curry,1954
needed,1952
NOT_about,1951
bars,1945
chill,1940
choose,1938
professional,1934
mix,1933
NOT_or,1931
set,1926
ok,1922
less,1922
nachos,1919
called,1915
past,1898
nights,1897
NOT_been,1893
omg,1891
specials,1887
games,1885
coffee,1885
city,1883
NOT_we,1879
use,1878
hookah,1867
surprised,1861
bellagio,1856
playing,1852
five,1851
tip,1850
lamb,1849
leave,1848
mind,1848
chili,1843
soft,1843
owner,1831
creamy,1830
four,1829
ago,1829
immediately,1826
recommendations,1822
prime,1821
xs,1819
literally,1810
exceptional,1807
cold,1806
serve,1802
th,1796
tea,1795
offer,1792
add,1789
strong,1784
walking,1781
someone,1764
across,1762
cheap,1758
near,1754
rest,1753
crazy,1753
space,1744
locals,1739
bbq,1735
margaritas,1732
business,1732
rich,1731
simply,1730
tomato,1730
la,1729
kids,1727
fact,1725
watching,1725
plates,1721
etc,1721
honestly,1717
NOT_good,1715
hidden,1715
taco,1713
staying,1712
belly,1711
including,1705
bowl,1698
dark,1696
margarita,1696
fan,1690
venetian,1689
gras,1687
bomb,1686
stuff,1686
added,1682
beans,1681
dip,1678
entree,1672
NOT_they,1669
blue,1666
NOT_enough,1666
believe,1661
lovely,1660
today,1650
foie,1650
tuna,1649
entrees,1644
palazzo,1642
either,1639
instead,1639
bass,1637
roasted,1631
reason,1627
choices,1621
offered,1617
outdoor,1615
hostess,1613
shot,1613
clubs,1611
forward,1608
heard,1607
together,1606
accommodating,1601
NOT_vegas,1599
eye,1598
vegan,1594
hang,1594
please,1594
sitting,1586
girl,1568
looks,1561
checked,1556
seasoned,1556
noodles,1553
modern,1552
filled,1551
stuffed,1548
environment,1544
split,1544
simple,1540
ordering,1539
decent,1538
type,1536
tuesday,1534
ingredients,1531
mushrooms,1528
ribs,1528
tv,1520
anniversary,1516
taking,1513
ribeye,1512
seat,1499
roll,1498
pleasant,1498
cute,1497
fat,1495
seemed,1493
bathroom,1491
call,1487
taken,1481
NOT_bad,1477
superb,1473
presentation,1471
ready,1467
mixed,1463
alcohol,1462
spinach,1461
finish,1460
oz,1460
talk,1458
opened,1456
sushi,1455
seen,1455
topped,1453
gorgeous,1449
tiki,1449
upon,1448
ambience,1446
morning,1443
NOT_sure,1439
treat,1439
complimentary,1437
loud,1436
NOT_come,1435
easily,1428
NOT_one,1428
shots,1420
host,1414
calamari,1404
interesting,1401
tonight,1398
NOT_your,1394
hand,1394
oxtail,1393
favorites,1390
guests,1388
desert,1387
met,1387
available,1384
visited,1384
asian,1383
head,1381
classy,1381
NOT_more,1378
NOT_much,1374
waited,1373
fajitas,1372
NOT_any,1372
romantic,1369
refreshing,1368
mashed,1365
crowded,1363
welcoming,1363
spectacular,1360
minute,1357
single,1357
NOT_just,1349
chose,1348
NOT_what,1345
heaven,1338
NOT_our,1336
mean,1335
casual,1331
others,1327
expected,1326
seats,1324
combo,1324
scallops,1323
surprise,1322
vip,1322
dancing,1321
toast,1321
drive,1321
impeccable,1317
true,1317
baked,1315
buffet,1315
touch,1313
based,1308
sports,1308
wall,1308
bouchon,1308
craft,1306
forget,1305
classic,1305
lemon,1303
bun,1302
NOT_wrong,1300
ladies,1298
sausage,1298
spice,1297
hope,1290
guacamole,1289
cover,1289
NOT_even,1284
spend,1278
middle,1277
pick,1272
NOT_great,1270
NOT_disappoint,1264
working,1259
wagyu,1257
bill,1253
help,1251
hip,1248
seems,1247
tao,1244
throughout,1243
NOT_out,1241
per,1235
exactly,1234
fancy,1233
given,1233
goes,1232
mignon,1231
guest,1230
drinking,1229
tap,1226
non,1225
sliders,1224
feeling,1223
views,1223
NOT_say,1220
onions,1219
sauces,1218
american,1215
completely,1212
smoke,1209
stone,1205
within,1204
martini,1204
hungry,1199
needs,1198
anywhere,1198
attention,1196
helped,1196
generous,1196
chance,1196
bloody,1195
behind,1193
private,1192
NOT_there,1191
oyster,1191
checking,1189
NOT_from,1188
recently,1187
coconut,1187
ones,1186
joe,1186
quiet,1185
knows,1184
center,1184
NOT_time,1182
homemade,1180
mall,1179
spent,1173
dry,1172
wrong,1167
takes,1166
sometimes,1165
rolls,1165
dine,1159
plan,1159
st,1157
finished,1156
expectations,1155
strawberry,1153
bed,1152
miss,1151
delish,1149
read,1149
absolute,1147
guess,1146
welcome,1146
NOT_me,1144
customers,1143
incredibly,1142
grab,1139
NOT_do,1138
mushroom,1135
