business_id,stars,SaturdayOPEN,SaturdayCOLSED,score_range,open_time,close_time,open_cate,close_cate,length
91868,3.890909091,19:30,03:00,3-4,19.5,3.0,2,4,7.5
143668,4.301587302,10:00,21:00,4-5,10.0,21.0,7,2,11.0
87650,4.666666667,00:00,00:00,4-5,0.0,0.0,3,3,24.0
11250,3.785714286,09:00,18:00,3-4,9.0,18.0,6,1,9.0
185658,4.117021277,00:00,00:00,4-5,0.0,0.0,3,3,24.0
169759,4.295454545,10:00,04:00,4-5,10.0,4.0,7,5,18.0
140230,3.333333333,22:00,05:00,3-4,22.0,5.0,3,5,7.0
175053,3.2,17:00,05:00,3-4,17.0,5.0,1,5,12.0
98471,4.222222222,00:00,00:00,4-5,0.0,0.0,3,3,24.0
181507,3.6,04:30,03:00,3-4,4.5,3.0,5,4,22.5
15810,4.407942238,14:00,03:30,4-5,14.0,3.5,8,4,13.5
187085,4.243902439,17:30,23:30,4-5,17.5,23.5,1,3,6.0
63046,3.537634409,11:00,11:00,3-4,11.0,11.0,7,7,24.0
120649,3.685185185,00:00,00:00,3-4,0.0,0.0,3,3,24.0
87657,3.217391304,00:00,00:00,3-4,0.0,0.0,3,3,24.0
110104,4.553191489,17:00,03:00,4-5,17.0,3.0,1,4,10.0
44658,3.8181818180000002,06:00,06:00,3-4,6.0,6.0,5,5,24.0
41738,3.3553719010000003,00:00,00:00,3-4,0.0,0.0,3,3,24.0
127877,3.545454545,11:00,22:30,3-4,11.0,22.5,7,3,11.5
37740,3.73540856,17:00,22:00,3-4,17.0,22.0,1,3,5.0
185769,4.1779359430000005,10:00,00:00,4-5,10.0,0.0,7,3,14.0
25918,3.9819819819999998,06:00,06:00,3-4,6.0,6.0,5,5,24.0
23314,3.519313305,11:00,23:00,3-4,11.0,23.0,7,3,12.0
142312,3.0629800310000004,11:30,01:00,3-4,11.5,1.0,7,4,13.5
13269,4.168539326,17:00,01:00,4-5,17.0,1.0,1,4,8.0
153845,3.661243463,07:00,03:00,3-4,7.0,3.0,6,4,20.0
112963,4.671641791,10:00,22:00,4-5,10.0,22.0,7,3,12.0
97837,4.2697368419999995,10:00,00:00,4-5,10.0,0.0,7,3,14.0
81619,3.529411765,19:00,03:00,3-4,19.0,3.0,2,4,8.0
145030,2.833333333,10:00,18:00,2-3,10.0,18.0,7,1,8.0
188352,3.80952381,16:00,02:00,3-4,16.0,2.0,1,4,10.0
191515,5.0,15:00,00:00,4-5,15.0,0.0,8,3,9.0
19624,3.027777778,00:00,00:00,3-4,0.0,0.0,3,3,24.0
67070,3.6811145510000003,07:30,23:00,3-4,7.5,23.0,6,3,15.5
58386,3.730769231,11:00,22:00,3-4,11.0,22.0,7,3,11.0
95612,3.4,09:00,18:00,3-4,9.0,18.0,6,1,9.0
169272,3.031746032,11:00,04:00,3-4,11.0,4.0,7,5,17.0
67211,3.9727891160000004,15:00,04:00,3-4,15.0,4.0,8,5,13.0
180005,4.481481481,10:00,02:00,4-5,10.0,2.0,7,4,16.0
101708,4.061216105,11:30,02:00,4-5,11.5,2.0,7,4,14.5
31203,2.806451613,00:00,00:00,2-3,0.0,0.0,3,3,24.0
92097,2.2,00:00,00:00,2-3,0.0,0.0,3,3,24.0
150179,4.128205128,19:00,04:00,4-5,19.0,4.0,2,5,9.0
135546,3.807142857,00:00,00:00,3-4,0.0,0.0,3,3,24.0
119128,4.428571429,00:00,00:00,4-5,0.0,0.0,3,3,24.0
190528,5.0,11:00,22:00,4-5,11.0,22.0,7,3,11.0
143487,4.589608873,11:00,22:00,4-5,11.0,22.0,7,3,11.0
125478,4.267223382,17:00,03:00,4-5,17.0,3.0,1,4,10.0
24975,3.0512820510000003,00:00,00:00,3-4,0.0,0.0,3,3,24.0
100535,4.045238095,11:00,22:00,4-5,11.0,22.0,7,3,11.0
192547,3.552213868,17:00,22:45,3-4,17.0,22.8,1,3,5.800000000000001
137030,3.024096386,06:00,06:00,3-4,6.0,6.0,5,5,24.0
96069,3.923379175,11:30,01:00,3-4,11.5,1.0,7,4,13.5
149383,1.8,09:00,09:00,1-2,9.0,9.0,6,6,24.0
65124,4.567717996,17:00,03:30,4-5,17.0,3.5,1,4,10.5
36216,3.620512821,11:00,22:00,3-4,11.0,22.0,7,3,11.0
51946,3.7663088360000003,10:00,23:00,3-4,10.0,23.0,7,3,13.0
181599,2.555555556,11:00,01:00,2-3,11.0,1.0,7,4,14.0
130178,3.450060901,09:00,00:00,3-4,9.0,0.0,6,3,15.0
34159,3.70210136,11:00,19:00,3-4,11.0,19.0,7,2,8.0
184798,2.25,22:00,05:00,2-3,22.0,5.0,3,5,7.0
178428,3.475471698,22:30,04:00,3-4,22.5,4.0,3,5,5.5
145270,4.815789474,17:00,02:00,4-5,17.0,2.0,1,4,9.0
103432,4.48,08:00,00:00,4-5,8.0,0.0,6,3,16.0
84876,2.6,00:00,00:00,2-3,0.0,0.0,3,3,24.0
56703,3.0694444439999997,14:00,05:00,3-4,14.0,5.0,8,5,15.0
66961,3.814814815,00:00,00:00,3-4,0.0,0.0,3,3,24.0
97739,3.379310345,11:00,02:00,3-4,11.0,2.0,7,4,15.0
61603,4.234782609,17:00,00:00,4-5,17.0,0.0,1,3,7.0
157078,2.963350785,11:00,23:00,2-3,11.0,23.0,7,3,12.0
83806,5.0,19:00,05:00,4-5,19.0,5.0,2,5,10.0
35921,4.2,09:30,01:00,4-5,9.5,1.0,6,4,15.5
129138,3.196217494,11:00,00:00,3-4,11.0,0.0,7,3,13.0
162637,4.03960396,17:00,23:00,4-5,17.0,23.0,1,3,6.0
187126,3.802197802,16:00,23:00,3-4,16.0,23.0,1,3,7.0
53617,2.525,17:00,04:30,2-3,17.0,4.5,1,5,11.5
9439,3.937462052,11:30,06:00,3-4,11.5,6.0,7,5,18.5
83646,3.64,11:00,02:00,3-4,11.0,2.0,7,4,15.0
41608,3.4190476189999996,11:00,02:00,3-4,11.0,2.0,7,4,15.0
1611,4.064156206,16:00,23:00,4-5,16.0,23.0,1,3,7.0
176486,4.1875,00:00,00:00,4-5,0.0,0.0,3,3,24.0
15992,3.5675675680000003,17:00,23:00,3-4,17.0,23.0,1,3,6.0
30934,3.967741935,08:00,02:00,3-4,8.0,2.0,6,4,18.0
62279,3.9142857139999996,00:00,00:00,3-4,0.0,0.0,3,3,24.0
70447,3.869918699,00:00,00:00,3-4,0.0,0.0,3,3,24.0
77026,3.817247821,22:00,04:00,3-4,22.0,4.0,3,5,6.0
