biwords,frequency
it was,13871
of the,10969
we were,10524
in the,9737
to the,9589
i was,9469
this place,8914
and the,8843
and i,8361
on the,7950
at the,7659
for the,7189
for a,7006
the food,6760
it s,6563
to get,6475
to be,6398
i m,5305
we had,4965
had to,4883
i had,4859
the bar,4828
i would,4742
if you,4672
was a,4644
i have,4613
go to,4612
the manag,4252
want to,4139
they were,3958
food was,3811
this is,3789
tri to,3767
with the,3766
and it,3712
and we,3597
i ve,3571
and they,3558
there was,3526
had a,3490
with a,3464
i do,3459
my friend,3453
when we,3442
ask for,3428
was the,3378
out of,3373
to go,3347
when i,3330
the servic,3319
in a,3284
so i,3225
from the,3205
i could,3182
one of,3123
that i,3072
i will,3070
is a,2957
the worst,2947
so we,2846
i ask,2795
but i,2768
the bartend,2757
i did,2747
servic was,2703
but the,2702
on a,2698
and a,2651
that was,2650
that we,2632
the tabl,2626
i order,2603
have been,2576
have a,2562
i am,2561
place is,2478
that the,2452
have to,2447
we got,2439
this was,2413
if i,2405
order the,2403
that s,2403
the restaur,2376
we order,2374
decid to,2373
the waitress,2368
a few,2346
would be,2337
went to,2320
in vega,2312
the onli,2311
by the,2301
the place,2298
we did,2288
he was,2285
the server,2265
is the,2221
custom servic,2181
wait for,2180
was so,2174
it is,2158
need to,2130
all the,2124
to a,2078
the same,2069
was veri,2055
and was,2033
that they,2025
would have,2023
she was,2007
and he,2006
order a,1989
our food,1952
to have,1931
food and,1924
my husband,1921
the other,1917
and then,1901
i went,1893
of us,1891
drink and,1878
the waiter,1842
i got,1838
no one,1833
and she,1830
they are,1829
of my,1828
of a,1820
there were,1773
get a,1762
at this,1753
at least,1753
and my,1750
las vega,1739
had the,1739
NOT_go NOT_back,1728
we ask,1727
an hour,1726
NOT_this NOT_place,1705
you re,1693
but it,1692
NOT_at NOT_all,1689
the room,1689
to say,1686
to make,1686
came out,1668
if we,1661
time i,1658
back to,1657
for our,1651
we could,1647
our server,1647
not t,1641
we went,1638
to eat,1638
at a,1638
to take,1637
about the,1626
they did,1622
our tabl,1619
be a,1607
the first,1602
to come,1599
for my,1595
which was,1593
did not,1591
in my,1590
ask if,1584
and ask,1581
you are,1555
they do,1553
food is,1551
the menu,1550
i can,1548
there are,1541
do note,1533
the hostess,1518
a good,1509
up and,1504
we are,1498
you can,1494
there is,1488
