words,frequency
this,22895
food,19441
NOT_the,16350
order,15213
place,14092
good,12752
servic,12725
NOT_to,12571
like,12071
get,11578
would,11267
time,10941
no,10632
drink,10180
one,10002
us,9978
NOT_a,9251
go,9015
came,7482
tabl,7355
ask,7185
bar,7174
NOT_,7132
realli,7085
got,7064
restaur,7064
could,6621
wait,6586
NOT_it,6486
back,6176
tri,5798
great,5758
server,5732
look,5715
friend,5558
better,5516
minut,5498
want,5455
come,5443
NOT_and,5317
vega,5295
nice,5290
night,5175
peopl,5042
even,5021
price,5020
NOT_for,4980
burger,4952
room,4900
said,4865
also,4776
NOT_of,4765
went,4731
tast,4648
star,4534
NOT_i,4519
pretti,4514
two,4509
first,4468
disappoint,4364
NOT_that,4350
took,4277
well,4251
NOT_be,4247
say,4180
thing,4178
fri,4141
way,4080
check,4072
NOT_in,3949
menu,3925
much,3883
chicken,3829
steak,3803
ok,3783
experi,3726
make,3687
waitress,3616
take,3563
NOT_was,3527
anoth,3520
hour,3480
has,3458
seat,3457
told,3446
NOT_back,3435
NOT_have,3386
noth,3378
eat,3378
give,3359
meal,3335
bad,3327
NOT_on,3323
manag,3301
waiter,3287
seem,3269
still,3257
NOT_at,3221
beer,3191
littl,3181
walk,3131
think,3073
around,3046
made,3045
NOT_even,3023
staff,2985
side,2939
bartend,2925
chees,2923
hotel,2900
dinner,2892
know,2891
review,2879
NOT_this,2869
salad,2857
small,2825
dish,2811
serv,2800
club,2790
sauc,2790
need,2761
expect,2758
NOT_go,2738
day,2699
flavor,2697
see,2648
water,2640
best,2600
right,2567
NOT_good,2561
sinc,2557
last,2535
howev,2528
love,2523
NOT_get,2517
end,2512
mayb,2509
left,2498
strip,2475
stay,2455
NOT_mi,2452
use,2428
his,2425
next,2425
though,2423
someth,2420
guy,2398
lot,2394
NOT_with,2393
NOT_we,2360
long,2350
pay,2342
start,2333
locat,2327
music,2320
sit,2297
parti,2272
NOT_all,2253
NOT_or,2235
mani,2211
NOT_you,2182
probabl,2180
special,2171
arriv,2169
cook,2155
decid,2155
top,2144
NOT_like,2142
final,2126
let,2104
plate,2104
actual,2085
charg,2063
custom,2062
bit,2052
note,2050
call,2028
new,2019
NOT_as,2000
thought,1998
definit,1991
appet,1985
NOT_here,1972
NOT_so,1960
NOT_come,1951
area,1939
hard,1938
high,1934
girl,1926
show,1921
line,1919
bread,1898
everyth,1895
NOT_food,1889
work,1881
visit,1867
free,1861
wo,1854
reason,1854
ca,1849
taco,1837
busi,1826
put,1820
els,1818
half,1816
okay,1814
sat,1810
ever,1805
NOT_but,1802
away,1799
open,1795
NOT_place,1791
danc,1790
NOT_our,1782
feel,1772
dri,1769
decent,1760
least,1758
overal,1757
meat,1755
differ,1754
bill,1749
person,1741
point,1722
year,1722
enjoy,1712
chip,1709
wine,1708
group,1702
qualiti,1696
slow,1688
big,1687
sure,1683
reserv,1675
happi,1668
floor,1658
money,1655
cold,1652
almost,1651
NOT_what,1649
dine,1644
brought,1641
pm,1619
front,1616
NOT_ani,1606
NOT_again,1605
NOT_us,1603
NOT_there,1598
husband,1596
NOT_want,1590
offer,1588
alway,1587
NOT_they,1586
pool,1581
gave,1576
instead,1572
leav,1566
insid,1565
find,1556
kind,1555
NOT_me,1555
NOT_if,1531
glass,1531
everi,1527
second,1527
later,1495
cool,1492
casino,1491
averag,1486
tell,1478
NOT_worth,1475
lack,1473
NOT_much,1471
potato,1469
play,1466
someon,1466
view,1460
NOT_order,1450
super,1447
atmospher,1440
guess,1440
NOT_know,1440
bland,1435
hope,1434
coupl,1431
dessert,1429
min,1428
hostess,1421
outsid,1419
lunch,1415
crowd,1411
fine,1407
tip,1406
mediocr,1401
terribl,1399
close,1395
old,1388
felt,1381
bottl,1379
part,1373
shrimp,1363
watch,1351
NOT_had,1349
wing,1349
game,1345
portion,1344
NOT_is,1343
quick,1333
overpr,1332
fish,1327
bring,1324
expens,1323
unfortun,1300
stop,1293
three,1285
poor,1284
NOT_up,1283
recommend,1279
chang,1279
horribl,1275
NOT_veri,1275
hot,1274
amaz,1270
empti,1262
NOT_time,1261
wife,1256
soup,1255
attent,1251
enough,1245
NOT_out,1244
NOT_about,1236
sweet,1232
without,1229
NOT_great,1223
decor,1221
pizza,1220
cocktail,1218
less,1211
NOT_drink,1206
medium,1205
sandwich,1198
rude,1197
everyon,1188
NOT_one,1187
wrong,1186
fun,1175
loud,1169
found,1169
door,1167
total,1166
las,1160
help,1160
quit,1156
NOT_eat,1155
NOT_realli,1151
NOT_were,1145
hous,1144
item,1143
entre,1138
whole,1137
larg,1135
full,1132
delici,1130
saw,1128
sad,1128
ice,1125
lobster,1120
name,1118
talk,1110
hand,1099
oh,1097
NOT_anyth,1093
extrem,1088
turn,1082
beef,1081
complet,1079
NOT_sure,1071
cours,1068
rib,1067
piec,1062
NOT_becaus,1059
worst,1059
rice,1058
short,1058
sever,1050
NOT_bad,1047
guest,1046
paid,1041
far,1040
option,1037
extra,1027
ate,1021
might,1019
salsa,1015
spot,1005
home,997
basic,992
cut,991
size,990
move,990
kitchen,988
yes,986
NOT_return,982
NOT_your,982
NOT_do,981
alreadi,980
egg,977
light,977
mean,976
huge,970
onion,968
NOT_servic,967
receiv,966
honest,963
main,962
clean,962
bite,960
NOT_ask,959
problem,957
pork,955
nacho,951
usual,951
margarita,948
awesom,943
anyth,943
NOT_impress,940
cover,939
NOT_when,938
rather,937
NOT_just,936
NOT_make,931
rate,929
especi,927
list,921
local,920
happen,920
NOT_think,920
NOT_would,913
return,911
mix,910
thank,908
select,906
tasti,902
sorri,901
may,899
NOT_too,899
given,893
crab,893
rare,891
serious,891
NOT_their,889
suppos,889
NOT_them,889
late,887
excit,884
NOT_expect,883
pass,882
entir,882
set,882
salti,879
NOT_been,877
NOT_recommend,875
kid,872
red,871
stand,871
chef,870
live,869
near,868
